ปี,เดือน,วัน,Country,Major Group,Menu Item Name,Sales Count
2024,ธันวาคม,16,Thailand,Beer,Chang Beer BT.,18
2024,ธันวาคม,16,Thailand,Beer,Heineken Beer BT.,4
2024,ธันวาคม,16,Thailand,Beer,San Miguel Light,3
2024,ธันวาคม,16,Thailand,Beer,Say Play Gls,2
2024,ธันวาคม,16,Thailand,Beer,Singha Beer BT.,25
2024,ธันวาคม,16,Thailand,Condiment,3 glass,1
2024,ธันวาคม,16,Thailand,Condiment,3g.,1
2024,ธันวาคม,16,Thailand,Condiment,4g,2
2024,ธันวาคม,16,Thailand,Condiment,Cut half,1
2024,ธันวาคม,16,Thailand,Condiment,Do Not Make Order,13
2024,ธันวาคม,16,Thailand,Condiment,Festucini,1
2024,ธันวาคม,16,Thailand,Condiment,Fettuccine,1
2024,ธันวาคม,16,Thailand,Condiment,Glass with ice,1
2024,ธันวาคม,16,Thailand,Condiment,Honny,2
2024,ธันวาคม,16,Thailand,Condiment,Hot,2
2024,ธันวาคม,16,Thailand,Condiment,Hot water,1
2024,ธันวาคม,16,Thailand,Condiment,Ice bucket,1
2024,ธันวาคม,16,Thailand,Condiment,Less ice,4
2024,ธันวาคม,16,Thailand,Condiment,Less ice with lemon slide,1
2024,ธันวาคม,16,Thailand,Condiment,Less sweet,2
2024,ธันวาคม,16,Thailand,Condiment,Medium Rare,1
2024,ธันวาคม,16,Thailand,Condiment,New,13
2024,ธันวาคม,16,Thailand,Condiment,No bacon,3
2024,ธันวาคม,16,Thailand,Condiment,No becon,1
2024,ธันวาคม,16,Thailand,Condiment,No Bread,2
2024,ธันวาคม,16,Thailand,Condiment,No ice,6
2024,ธันวาคม,16,Thailand,Condiment,No pancetta,2
2024,ธันวาคม,16,Thailand,Condiment,No pancetta ch to chicken,1
2024,ธันวาคม,16,Thailand,Condiment,No pork,2
2024,ธันวาคม,16,Thailand,Condiment,On The Rock,9
2024,ธันวาคม,16,Thailand,Condiment,Seat 1,2
2024,ธันวาคม,16,Thailand,Condiment,Seat 1-3 11-13,2
2024,ธันวาคม,16,Thailand,Condiment,Seat 14,3
2024,ธันวาคม,16,Thailand,Condiment,Seat 4,2
2024,ธันวาคม,16,Thailand,Condiment,Seat 4-10,6
